"run","source_global","end_global","source_phase","optimized_decisions","physics_ticks","nonterminal_handoffs","terminal_handoffs","native_effect_ticks","own_phase_effect_ticks","native_audit_anomaly_rows","state_write_anomaly_rows","sampled"
"20260908T0037544616949Z_g2f27c6f5065a_676c69e8a4994965a57db38f1a8c2ab1",127232,128768,"P03",26,208,6,0,208,202,0,0,"true"
"20260908T0037544616949Z_g2f27c6f5065a_676c69e8a4994965a57db38f1a8c2ab1",127232,128768,"P04",17,136,6,0,136,130,0,0,"true"
"20260908T0037544616949Z_g2f27c6f5065a_676c69e8a4994965a57db38f1a8c2ab1",127232,128768,"P05",500,3985,1,0,3985,3979,0,0,"true"
"20260908T0037544616949Z_g2f27c6f5065a_676c69e8a4994965a57db38f1a8c2ab1",127232,128768,"P06",205,1640,1,0,1640,1639,0,0,"true"
"20260908T0037544616949Z_g2f27c6f5065a_676c69e8a4994965a57db38f1a8c2ab1",127232,128768,"P07",1,8,1,0,8,7,0,0,"true"
"20260908T0037544616949Z_g2f27c6f5065a_676c69e8a4994965a57db38f1a8c2ab1",127232,128768,"P08",1,8,1,0,8,7,0,0,"true"
"20260908T0037544616949Z_g2f27c6f5065a_676c69e8a4994965a57db38f1a8c2ab1",127232,128768,"P09",8,62,0,0,62,61,0,0,"true"
"20260908T0037544616949Z_g2f27c6f5065a_676c69e8a4994965a57db38f1a8c2ab1",127232,128768,"P10",0,0,0,0,0,0,0,0,"false"
"20260908T0037544616949Z_g2f27c6f5065a_676c69e8a4994965a57db38f1a8c2ab1",127232,128768,"P11",0,0,0,0,0,0,0,0,"false"
"20260908T0037544616949Z_g2f27c6f5065a_676c69e8a4994965a57db38f1a8c2ab1",127232,128768,"P12",0,0,0,0,0,0,0,0,"false"
"20260908T0037544616949Z_g2f27c6f5065a_676c69e8a4994965a57db38f1a8c2ab1",127232,128768,"P13",0,0,0,0,0,0,0,0,"false"
"20260908T0056194541922Z_g2f27c6f5065a_42fbe687c18c452cb2f120cdf7967bc8",128768,130304,"P01",0,0,0,0,0,0,0,0,"false"
"20260908T0056194541922Z_g2f27c6f5065a_42fbe687c18c452cb2f120cdf7967bc8",128768,130304,"P02",0,0,0,0,0,0,0,0,"false"
"20260908T0056194541922Z_g2f27c6f5065a_42fbe687c18c452cb2f120cdf7967bc8",128768,130304,"P03",0,0,0,0,0,0,0,0,"false"
"20260908T0056194541922Z_g2f27c6f5065a_42fbe687c18c452cb2f120cdf7967bc8",128768,130304,"P04",0,0,0,0,0,0,0,0,"false"
