physics_tick,simulation_time_s,body_name,role,obstacle_pair_active,persistent_or_penetrating,body_collision,source,reason
174,1.45,base_link,BODY,False,False,False,body_contacts.jsonl,
175,1.4583333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
176,1.4666666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
177,1.475,base_link,BODY,False,False,False,body_contacts.jsonl,
178,1.4833333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
179,1.4916666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
180,1.5,base_link,BODY,False,False,False,body_contacts.jsonl,
181,1.5083333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
182,1.5166666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
183,1.525,base_link,BODY,False,False,False,body_contacts.jsonl,
184,1.5333333333333332,base_link,BODY,False,False,False,body_contacts.jsonl,
185,1.5416666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
186,1.55,base_link,BODY,False,False,False,body_contacts.jsonl,
187,1.5583333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
188,1.5666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
189,1.575,base_link,BODY,False,False,False,body_contacts.jsonl,
190,1.5833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
191,1.5916666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
192,1.6,base_link,BODY,False,False,False,body_contacts.jsonl,
193,1.6083333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
194,1.6166666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
195,1.625,base_link,BODY,False,False,False,body_contacts.jsonl,
196,1.6333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
197,1.6416666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
198,1.65,base_link,BODY,False,False,False,body_contacts.jsonl,
199,1.6583333333333332,base_link,BODY,False,False,False,body_contacts.jsonl,
200,1.6666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
201,1.675,base_link,BODY,False,False,False,body_contacts.jsonl,
202,1.6833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
203,1.6916666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
204,1.7,base_link,BODY,False,False,False,body_contacts.jsonl,
205,1.7083333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
206,1.7166666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
207,1.7249999999999999,base_link,BODY,False,False,False,body_contacts.jsonl,
208,1.7333333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
209,1.7416666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
210,1.75,base_link,BODY,False,False,False,body_contacts.jsonl,
211,1.7583333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
212,1.7666666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
213,1.775,base_link,BODY,False,False,False,body_contacts.jsonl,
214,1.7833333333333332,base_link,BODY,False,False,False,body_contacts.jsonl,
215,1.7916666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
216,1.8,base_link,BODY,False,False,False,body_contacts.jsonl,
217,1.8083333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
218,1.8166666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
219,1.825,base_link,BODY,False,False,False,body_contacts.jsonl,
220,1.8333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
221,1.8416666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
222,1.8499999999999999,base_link,BODY,False,False,False,body_contacts.jsonl,
223,1.8583333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
224,1.8666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
225,1.875,base_link,BODY,False,False,False,body_contacts.jsonl,
226,1.8833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
227,1.8916666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
228,1.9,base_link,BODY,False,False,False,body_contacts.jsonl,
229,1.9083333333333332,base_link,BODY,False,False,False,body_contacts.jsonl,
230,1.9166666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
231,1.925,base_link,BODY,False,False,False,body_contacts.jsonl,
232,1.9333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
233,1.9416666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
234,1.95,base_link,BODY,False,False,False,body_contacts.jsonl,
235,1.9583333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
236,1.9666666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
237,1.9749999999999999,base_link,BODY,False,False,False,body_contacts.jsonl,
238,1.9833333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
239,1.9916666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
240,2.0,base_link,BODY,False,False,False,body_contacts.jsonl,
241,2.0083333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
242,2.0166666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
243,2.025,base_link,BODY,False,False,False,body_contacts.jsonl,
244,2.033333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
245,2.0416666666666665,base_link,BODY,False,False,False,body_contacts.jsonl,
246,2.05,base_link,BODY,False,False,False,body_contacts.jsonl,
247,2.058333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
248,2.0666666666666664,base_link,BODY,False,False,False,body_contacts.jsonl,
249,2.075,base_link,BODY,False,False,False,body_contacts.jsonl,
250,2.0833333333333335,base_link,BODY,False,False,False,body_contacts.jsonl,
251,2.091666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
252,2.1,base_link,BODY,False,False,False,body_contacts.jsonl,
253,2.1083333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
254,2.1166666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
255,2.125,base_link,BODY,False,False,False,body_contacts.jsonl,
256,2.1333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
257,2.1416666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
258,2.15,base_link,BODY,False,False,False,body_contacts.jsonl,
259,2.158333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
260,2.1666666666666665,base_link,BODY,False,False,False,body_contacts.jsonl,
261,2.175,base_link,BODY,False,False,False,body_contacts.jsonl,
262,2.183333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
263,2.1916666666666664,base_link,BODY,False,False,False,body_contacts.jsonl,
264,2.2,base_link,BODY,False,False,False,body_contacts.jsonl,
265,2.2083333333333335,base_link,BODY,False,False,False,body_contacts.jsonl,
266,2.216666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
267,2.225,base_link,BODY,False,False,False,body_contacts.jsonl,
268,2.2333333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
269,2.2416666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
270,2.25,base_link,BODY,False,False,False,body_contacts.jsonl,
271,2.2583333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
272,2.2666666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
273,2.275,base_link,BODY,False,False,False,body_contacts.jsonl,
274,2.283333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
275,2.2916666666666665,base_link,BODY,False,False,False,body_contacts.jsonl,
276,2.3,base_link,BODY,False,False,False,body_contacts.jsonl,
277,2.308333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
278,2.3166666666666664,base_link,BODY,False,False,False,body_contacts.jsonl,
279,2.325,base_link,BODY,False,False,False,body_contacts.jsonl,
280,2.3333333333333335,base_link,BODY,False,False,False,body_contacts.jsonl,
281,2.341666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
282,2.35,base_link,BODY,False,False,False,body_contacts.jsonl,
283,2.3583333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
284,2.3666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
285,2.375,base_link,BODY,False,False,False,body_contacts.jsonl,
286,2.3833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
287,2.3916666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
288,2.4,base_link,BODY,False,False,False,body_contacts.jsonl,
289,2.408333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
290,2.4166666666666665,base_link,BODY,False,False,False,body_contacts.jsonl,
291,2.425,base_link,BODY,False,False,False,body_contacts.jsonl,
292,2.433333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
293,2.4416666666666664,base_link,BODY,False,False,False,body_contacts.jsonl,
294,2.45,base_link,BODY,False,False,False,body_contacts.jsonl,
295,2.4583333333333335,base_link,BODY,False,False,False,body_contacts.jsonl,
296,2.466666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
297,2.475,base_link,BODY,False,False,False,body_contacts.jsonl,
298,2.4833333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
299,2.4916666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
300,2.5,base_link,BODY,False,False,False,body_contacts.jsonl,
301,2.5083333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
302,2.5166666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
303,2.525,base_link,BODY,False,False,False,body_contacts.jsonl,
304,2.533333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
305,2.5416666666666665,base_link,BODY,False,False,False,body_contacts.jsonl,
306,2.55,base_link,BODY,False,False,False,body_contacts.jsonl,
307,2.558333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
308,2.5666666666666664,base_link,BODY,False,False,False,body_contacts.jsonl,
309,2.575,base_link,BODY,False,False,False,body_contacts.jsonl,
310,2.5833333333333335,base_link,BODY,False,False,False,body_contacts.jsonl,
311,2.591666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
312,2.6,base_link,BODY,False,False,False,body_contacts.jsonl,
313,2.6083333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
314,2.6166666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
315,2.625,base_link,BODY,False,False,False,body_contacts.jsonl,
316,2.6333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
