phase,state,channel,reference_start,reference_end,reference_delta,reference_active_duration,reference_average_velocity,reference_peak_velocity,reference_wheel_integral,fsm_start,fsm_command_end,fsm_actual_end,fsm_delta,fsm_active_duration,fsm_average_velocity,fsm_peak_velocity,fsm_wheel_integral,endpoint_error_percent,delta_error_percent,duration_error_percent,velocity_error_percent,wheel_integral_error_percent,within_15_percent,reference_actual_end,reference_actual_delta,reference_actual_wheel_integral,fsm_command_delta,fsm_actual_delta,fsm_command_wheel_integral,fsm_actual_wheel_integral,command_endpoint_error_percent,actual_endpoint_error_percent,command_delta_error_percent,actual_delta_error_percent,average_velocity_error_percent,peak_velocity_error_percent,command_wheel_integral_error_percent,actual_wheel_integral_error_percent,trajectory_rmse,trajectory_rmse_percent,active_sample_count,reference_measured_average_velocity,fsm_measured_average_velocity,measured_average_velocity_error_percent,reference_measured_peak_velocity,fsm_measured_peak_velocity,measured_peak_velocity_error_percent
P04,FL_UNLOAD_PREP,front_right_ankle,0.0,0.0,0.0,4.799999999999727,0.275,0.3,1.319999999999925,0.0,0.0,-0.11586692184209824,-0.11829962581396103,4.800000000000001,0.2750000000000007,0.3,1.2751304052925354,0.0,0.0,5.6991448597427944e-12,1.9984014443252815e-13,5.938011025647008e-12,True,-0.0887410119175911,-0.04492754489183426,1.278427702087526,0.0,-0.11829962581396103,1.3200000000000034,1.2751304052925354,0.0,8.13777297735214,0.0,22.011624276638027,1.9984014443252815e-13,0.0,5.938011025647008e-12,0.2579181278383268,0.0,0.0,578,0.2680296645061496,0.2674098275054027,0.18595110022407432,0.47630536556243896,0.37097787857055664,22.1134370106261
P04,FL_UNLOAD_PREP,rear_left_ankle,0.0,0.0,0.0,4.799999999999727,0.275,0.3,1.319999999999925,0.0,0.0,0.13325780630111694,0.13566088443621993,4.800000000000001,0.2750000000000007,0.3,1.3226667777465986,0.0,0.0,5.6991448597427944e-12,1.9984014443252815e-13,5.938011025647008e-12,True,0.2266872227191925,0.22878007357940078,1.3236263457516988,0.0,0.13566088443621993,1.3200000000000034,1.3226667777465986,0.0,28.028824925422665,0.0,27.93575674295425,1.9984014443252815e-13,0.0,5.938011025647008e-12,0.07249538422833922,0.0,0.0,578,0.2749215122410369,0.27473728841820066,0.05526714685086808,0.3030620217323303,0.3030288517475128,0.009950995445251463
P04,FL_UNLOAD_PREP,rear_right_ankle,0.0,0.0,0.0,4.799999999999727,0.275,0.3,1.319999999999925,0.0,0.0,-0.038535963743925095,0.14489782229065895,4.800000000000001,0.2750000000000007,0.3,1.0273379076970741,0.0,0.0,5.6991448597427944e-12,1.9984014443252815e-13,5.938011025647008e-12,True,-0.03231290355324745,0.20469873771071434,1.023589120564613,0.0,0.14489782229065895,1.3200000000000034,1.0273379076970741,0.0,1.8669180572032926,0.0,17.940274626016613,1.9984014443252815e-13,0.0,5.938011025647008e-12,0.36623944678048526,0.0,0.0,578,0.21482215748268427,0.21427610718119877,0.16381509044564865,0.5082479119300842,0.4680376946926117,7.911536140851661
P05,FL_ACTIVE_LIFT_AND_PLACE,front_left_hip,0.0,22.8,22.8,9.733333333332784,7.647766155118751,120.84047177705263,0.0,0.0,22.8,25.756624443695735,24.842956361684198,9.733333333333334,7.612497025527178,120.39108631080082,0.0,1.6191292954185685,2.8826866752891647,5.657574865213446e-12,0.46116903781068785,0.0,True,26.12578592305117,25.500208923650128,0.0,22.8,24.842956361684198,0.0,0.0,0.0,1.6191292954185685,0.0,2.8826866752891647,0.46116903781068785,0.3718832437868297,0.0,0.0,0.2774782152718748,1.2170097161047138,1170,7.647766155118751,7.612497025527178,0.46116903781068785,120.84047177705263,120.39108631080082,0.3718832437868297
P05,FL_ACTIVE_LIFT_AND_PLACE,front_left_knee,-22.9,-13.4,9.499999999999998,9.733333333332784,5.564369883112962,109.57826847726699,0.0,-22.9,-13.4,-12.317144449933734,0.9248426183392233,9.733333333333334,5.54789266961558,109.59806236548168,0.0,0.10560966560720697,0.39981579523727273,5.657574865213446e-12,0.24715820246073772,0.0,True,-12.331225738681361,0.8715338456409203,0.0,9.499999999999998,0.9248426183392233,0.0,0.0,0.0,0.10560966560720697,0.0,0.39981579523727273,0.24715820246073772,0.01806369866010365,0.0,0.0,0.22627593450870204,2.3818519421968642,1170,5.564369883112962,5.54789266961558,0.24715820246073772,109.57826847726699,109.59806236548168,0.01806369866010365
P05,FL_ACTIVE_LIFT_AND_PLACE,front_left_ankle,0.0,0.0,0.0,9.733333333332784,0.25273972602739714,0.3,2.45999999999986,0.0,0.0,-0.0004954271134920418,0.026827725756447762,9.733333333333334,0.25273972602740064,0.3,2.461908023589297,0.0,0.0,5.657574865213446e-12,1.0491607582707727e-12,7.0223862858408205e-12,True,-0.00047993927728384733,0.034689602558501065,2.4620230221926014,0.0,0.026827725756447762,2.460000000000033,2.461908023589297,0.0,0.004646350862458347,0.0,2.3585630406159903,1.0491607582707727e-12,0.0,7.0223862858408205e-12,0.004670898779899508,0.0,0.0,1170,0.25272202823805734,0.25267749877292595,0.013358839539417964,0.3023310601711273,0.3054746091365814,0.9430646896362304
P05,FL_ACTIVE_LIFT_AND_PLACE,front_right_ankle,0.0,0.0,0.0,9.733333333332784,0.25273972602739714,0.3,2.45999999999986,0.0,0.0,-0.18420442938804626,-0.06833750754594803,9.733333333333334,0.25273972602740064,0.3,0.6908325072377923,0.0,0.0,5.657574865213446e-12,1.0491607582707727e-12,7.0223862858408205e-12,True,-0.1748153269290924,-0.08510437607765198,0.7061534120390408,0.0,-0.06833750754594803,2.460000000000033,0.6908325072377923,0.0,2.816730737686157,0.0,5.030060559511184,1.0491607582707727e-12,0.0,7.0223862858408205e-12,2.169628375370852,0.0,0.0,1170,0.13124990614178852,0.12998399982531356,0.3797718949424905,0.4817969799041748,0.43870896100997925,8.943189910149579
P05,FL_ACTIVE_LIFT_AND_PLACE,rear_left_ankle,0.0,0.0,0.0,9.733333333332784,0.25273972602739714,0.3,2.45999999999986,0.0,0.0,0.08665759116411209,-0.04660021513700485,9.733333333333334,0.25273972602740064,0.3,3.0779040659777825,0.0,0.0,5.657574865213446e-12,1.0491607582707727e-12,7.0223862858408205e-12,True,0.08474545180797577,-0.06803534924983978,3.1531252033385893,0.0,-0.04660021513700485,2.460000000000033,3.0779040659777825,0.0,0.5736418068408965,0.0,6.430540233850478,1.0491607582707727e-12,0.0,7.0223862858408205e-12,2.3856057882243666,0.0,0.0,1170,0.3252047601386777,0.32268574063021405,0.7557058525391013,0.5847263336181641,0.5490608215332031,6.0995221241824735
P05,FL_ACTIVE_LIFT_AND_PLACE,rear_right_ankle,0.0,0.0,0.0,9.733333333332784,0.25273972602739714,0.3,2.45999999999986,0.0,0.0,-0.033532463014125824,0.005003500729799271,9.733333333333334,0.25273972602740064,0.3,2.5825549334966706,0.0,0.0,5.657574865213446e-12,1.0491607582707727e-12,7.0223862858408205e-12,True,-0.022109057754278183,0.016212940216064453,2.577017138207013,0.0,0.005003500729799271,2.460000000000033,2.5825549334966706,0.0,3.427021577954292,0.0,3.3628318458795543,1.0491607582707727e-12,0.0,7.0223862858408205e-12,0.2148916748574892,0.0,0.0,1170,0.2717141398450093,0.2724212587080721,0.21213565891883832,0.3983379900455475,0.3974834978580475,0.21451435937664246
P06,FRONT_PAIR_ADVANCE,front_left_ankle,0.0,0.0,0.0,25.533333333331882,0.3,0.3,7.659999999999564,0.0,0.0,-0.03177522122859955,-0.031279794115107507,25.533333333333335,0.29999999999998567,0.3,6.766278899178488,0.0,0.0,5.690835096460134e-12,4.296563105299355e-12,9.160064641816435e-13,True,-0.04622725397348404,-0.04574560929904692,6.71113146949355,0.0,-0.031279794115107507,7.659999999999634,6.766278899178488,0.0,4.335609823465346,0.0,4.339744555181823,4.296563105299355e-12,0.0,9.160064641816435e-13,0.8217307310342378,0.0,0.0,3066,0.2626975724420229,0.2648332620628911,0.6407068862604558,0.3847907781600952,0.4101199805736542,6.582590813291411
