trial_id,phase,channel,channel_kind,metric,error_percent,within_30_percent,warning,blocks_task_success,source
trial_010_20260901_clean_v010,P03,rear_left_hip,servo,command_endpoint_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_hip,servo,actual_endpoint_error_percent,3.104278501469994,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_hip,servo,command_delta_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_hip,servo,actual_delta_error_percent,3.0871520569839848,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_hip,servo,duration_error_percent,5.625129991434446e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_hip,servo,command_average_velocity_error_percent,5.6207111933258465e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_hip,servo,measured_average_velocity_error_percent,6.944591922440888,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_hip,servo,command_peak_velocity_error_percent,5.6843418860808015e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_hip,servo,measured_peak_velocity_error_percent,4.147375942813861,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_hip,servo,trajectory_rmse_percent,1.414821924639151,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_ankle,wheel,duration_error_percent,5.625129991434446e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_ankle,wheel,command_average_velocity_error_percent,7.026728003956686e-14,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_ankle,wheel,measured_average_velocity_error_percent,0.4693653201369699,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_ankle,wheel,command_peak_velocity_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_ankle,wheel,measured_peak_velocity_error_percent,29.970202511669367,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_ankle,wheel,command_wheel_integral_error_percent,5.562826336466027e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,front_left_ankle,wheel,actual_wheel_integral_error_percent,0.4964997768899391,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_ankle,wheel,duration_error_percent,5.625129991434446e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_ankle,wheel,command_average_velocity_error_percent,2.3660490688732845e-13,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_ankle,wheel,measured_average_velocity_error_percent,7.217470398676378,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_ankle,wheel,command_peak_velocity_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_ankle,wheel,measured_peak_velocity_error_percent,3.4248094674479566,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_ankle,wheel,command_wheel_integral_error_percent,5.399445311018828e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P03,rear_left_ankle,wheel,actual_wheel_integral_error_percent,36.29302387410797,False,REFERENCE_DIVERGENCE_WARNING,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_hip,servo,command_endpoint_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_hip,servo,actual_endpoint_error_percent,1.7687290341723143,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_hip,servo,command_delta_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_hip,servo,actual_delta_error_percent,4.262875706797492,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_hip,servo,duration_error_percent,5.6991448597427944e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_hip,servo,command_average_velocity_error_percent,3.770317391627032e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_hip,servo,measured_average_velocity_error_percent,7.882140022618737,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_hip,servo,command_peak_velocity_error_percent,5.6843418860808015e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_hip,servo,measured_peak_velocity_error_percent,10.888527968401869,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_hip,servo,trajectory_rmse_percent,4.463016348784499,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,front_left_ankle,wheel,duration_error_percent,5.6991448597427944e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,front_left_ankle,wheel,command_average_velocity_error_percent,2.422304781000341e-13,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,front_left_ankle,wheel,measured_average_velocity_error_percent,0.028944983377740187,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,front_left_ankle,wheel,command_peak_velocity_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
